id,readme,,,Biodiesel MFSP GGE,Jet-A MFSP GGE,EtOH MFSP GGE,,Biodiesel Raw ($/kg Biodiesel),Biodiesel GGE,,Jet-A Raw ($/kg Jet),Jet-A GGE,,EtOH-Raw ($/kg EtOH),EtOH GGE,,,Corn MBSP ($/kg) ,Corn GWP,,Soy MBSP ($/kg),Soy GWP,,fips,MC_Soy MFSPs
5021,5.572612757,,,13.33809974,12.08720158,6.078947606,,3.79702023,13.33809974,,4.192910486,12.08720158,,2.062874979,6.078947606,,,0.277832397,8.131022518,,1.123184508,14.72630898,,5021,11.33980507
5023,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5023,0
5025,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5025,0
5027,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5027,0
5029,6.787955219,,,19.43617835,17.48757349,6.632064242,,5.532989242,19.43617835,,6.066237068,17.48757349,,2.250573664,6.632064242,,,0.277832397,22.59739968,,1.113505103,40.74939618,,5029,22.93127602
5031,4.774468831,,,13.72609552,12.43078534,6.299147505,,3.907472833,13.72609552,,4.312095721,12.43078534,,2.13759924,6.299147505,,,0.277832397,14.72016006,,1.122346873,16.97830691,,5031,11.38494307
5033,3.983823521,,,26.92330596,24.11734354,7.042596019,,7.664385434,26.92330596,,8.366027651,24.11734354,,2.389886549,7.042596019,,,0.277832397,29.97921542,,1.107176267,57.76449167,,5033,24.1800421
5035,3.134612379,,,13.99575076,12.6696388,6.378796906,,3.984236869,13.99575076,,4.394951225,12.6696388,,2.164628055,6.378796906,,,0.277832397,16.80094034,,1.121788452,18.47963886,,5035,13.04887019
5037,4.647729968,,,14.66206711,13.25984426,6.255931949,,4.173920311,14.66206711,,4.599686675,13.25984426,,2.122934153,6.255931949,,,0.277832397,13.53114276,,1.120485443,21.98274676,,5037,15.13404036
5039,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5039,0
5041,1.799781887,,,12.88890747,11.68944661,6.177763331,,3.669146533,12.88890747,,4.054933888,11.68944661,,2.096407837,6.177763331,,,0.277832397,11.25219293,,1.124208291,11.97386706,,5041,12.24743923
5043,6.454884157,,,13.46530572,12.19984096,6.2350143,,3.833232559,13.46530572,,4.231983786,12.19984096,,2.115835804,6.2350143,,,0.277832397,12.93663411,,1.122905309,15.47697495,,5043,13.00346715
5045,4.226796458,,,18.13059382,16.33149267,6.796949795,,5.16132229,18.13059382,,5.665205997,16.33149267,,2.306527145,6.796949795,,,0.277832397,25.81765487,,1.115087316,36.49562231,,5045,18.00717531
5047,10.39167044,,,21.69355734,19.48645826,6.599015842,,6.175608045,21.69355734,,6.759627087,19.48645826,,2.239358776,6.599015842,,,0.277832397,21.90380626,,1.111178324,47.00494599,,5047,26.98098552
5049,2.503199846,,,10.3240338,9.418278878,6.290011477,,2.938991756,10.3240338,,3.267092057,9.418278878,,2.134498952,6.290011477,,,0.277832397,14.47244812,,1.131467848,-7.543448344,,5049,9.408460288
5051,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5051,0
5053,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5053,0
5055,3.775514423,,,14.51469262,13.12930368,6.277339543,,4.131966515,14.51469262,,4.554403658,13.12930368,,2.130198765,6.277339543,,,0.277832397,14.12565141,,1.120764669,21.23208078,,5055,14.14575034
5057,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5057,0
5059,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5059,0
5061,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5061,0
5063,3.957857207,,,17.16839233,15.47947387,6.65617886,,4.887407822,17.16839233,,5.369650525,15.47947387,,2.258756896,6.65617886,,,0.277832397,23.09282356,,1.116390321,32.99251442,,5063,15.97361037
5065,3.952468124,,,19.93805144,17.93197672,190,,5.675859839,19.93805144,,6.220395411,17.93197672,,25,190,,,100,0,,1.11294667,42.25072814,,5065,16.36792213
5067,4.549119027,,,18.05869674,16.26782858,6.437014587,,5.140855007,18.05869674,,5.64312166,16.26782858,,2.184384073,6.437014587,,,0.277832397,18.23766958,,1.115180381,36.24540032,,5067,16.60914651
5069,2.211406618,,,13.85978698,12.54920558,6.259472562,,3.945531416,13.85978698,,4.353174335,12.54920558,,2.124135651,6.259472562,,,0.277832397,13.63022754,,1.122067658,17.72897289,,5069,11.94067334
5071,17.41144931,,,24.72951944,22.1747695,6.810475565,,7.039869802,24.72951944,,7.692171176,22.1747695,,2.31111708,6.810475565,,,0.277832397,26.06536681,,1.108665412,53.76093979,,5071,30.84745691
5073,3.712555877,,,14.96478205,13.52798121,6.553189922,,4.260095612,14.96478205,,4.692700285,13.52798121,,2.22380787,6.553189922,,,0.277832397,20.9129585,,1.119927025,23.48407871,,5073,15.2100151
5075,3.938165685,,,18.27593387,16.46018999,6.47457207,,5.202696933,18.27593387,,5.709849609,16.46018999,,2.197129107,6.47457207,,,0.277832397,19.12943255,,1.114901175,36.9960663,,5075,14.78234185
5077,3.215713203,,,15.38578906,13.90089808,6.299147505,,4.379945679,15.38578906,,4.822060835,13.90089808,,2.13759924,6.299147505,,,0.277832397,14.72016006,,1.119182449,25.48585465,,5077,14.52354829
5079,3.850253866,,,12.61638745,11.44813296,6.254173883,,3.591566963,12.61638745,,3.971224973,11.44813296,,2.122337558,6.254173883,,,0.277832397,13.48160037,,1.124859794,10.22231311,,5079,13.69733039
5081,6.242995928,,,19.11408063,17.20235954,6.617800311,,5.441296154,19.11408063,,5.967299646,17.20235954,,2.245733236,6.617800311,,,0.277832397,22.30014536,,1.113877394,39.74850822,,5081,18.26461101
5083,2.312803279,,,14.86267221,13.43753501,190,,4.231027517,14.86267221,,4.661325541,13.43753501,,25,190,,,100,0,,1.120113169,22.98363473,,5083,12.08889654
5085,8.94411085,,,18.20300431,16.39561139,6.252418873,,5.181935728,18.20300431,,5.687448041,16.39561139,,2.121742,6.252418873,,,0.277832397,13.43205798,,1.114994238,36.74584431,,5085,20.3571098
5087,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5087,0
5089,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5089,0
5091,2.559643487,,,22.51911325,20.21747891,7.349973308,,6.410622971,22.51911325,,7.013209698,20.21747891,,2.494194229,7.349973308,,,0.277832397,34.33894553,,1.110433758,49.00672193,,5091,21.58837028
5093,4.450860637,,,12.81002278,11.61959509,6.580493492,,3.646690052,12.81002278,,4.030703201,11.61959509,,2.233073265,6.580493492,,,0.277832397,21.50746715,,1.124394448,11.47342308,,5093,11.7776703
5095,6.50889582,,,15.71540173,14.19286028,6.325111467,,4.473778082,15.71540173,,4.923339148,14.19286028,,2.146410042,6.325111467,,,0.277832397,15.41375349,,1.118624018,26.9871866,,5095,17.95156921
5097,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5097,0
5099,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5099,0
5101,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5101,0
5103,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5103,0
5105,7.93140126,,,14.32216874,12.95877115,190,,4.077159828,14.32216874,,4.495247894,12.95877115,,25,190,,,100,0,,1.121136943,20.23119281,,5105,13.89653098
5107,3.057179927,,,13.904853,12.58912391,6.468234103,,3.958360573,13.904853,,4.36702154,12.58912391,,2.194978334,6.468234103,,,0.277832397,18.98080539,,1.121974591,17.97919488,,5107,11.32359539
5109,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5109,0
5111,4.051967819,,,13.17168349,11.9398417,6.155017133,,3.749645725,13.17168349,,4.141793049,11.9398417,,2.088688974,6.155017133,,,0.277832397,10.55859951,,1.123556807,13.72542101,,5111,14.42752588
5113,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5113,0
5115,2.631364728,,,17.56934925,15.83451678,6.718402913,,5.001550133,17.56934925,,5.492810807,15.83451678,,2.279872466,6.718402913,,,0.277832397,24.33138324,,1.115831888,34.49384638,,5115,15.7332797
5117,6.520634422,,,14.51469262,13.12930368,6.181051227,,4.131966515,14.51469262,,4.554403658,13.12930368,,2.097523576,6.181051227,,,0.277832397,11.35127771,,1.120764669,21.23208078,,5117,16.73140795
5119,12.27833816,,,16.17480985,14.59966745,6.31577316,,4.604559974,16.17480985,,5.064455852,14.59966745,,2.143241112,6.31577316,,,0.277832397,15.16604155,,1.117879456,28.98896254,,5119,16.91296937
5121,3.456428089,,,15.38578906,13.90089808,6.323237973,,4.379945679,15.38578906,,4.822060835,13.90089808,,2.145774277,6.323237973,,,0.277832397,15.3642111,,1.119182449,25.48585465,,5121,16.24690454
5123,3.847791478,,,15.01629832,13.573613,6.31577316,,4.274760993,15.01629832,,4.708529425,13.573613,,2.143241112,6.31577316,,,0.277832397,15.16604155,,1.119833944,23.7343007,,5123,11.91481006
5125,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5125,0
5127,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5127,0
5129,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5129,0
5131,2.912595078,,,23.98987123,21.51981902,190,,6.829310631,23.98987123,,7.464976425,21.51981902,,25,190,,,100,0,,1.10922383,52.25960783,,5131,21.48999321
5133,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5133,0
5135,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5135,0
5137,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5137,0
5139,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5139,0
5141,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5141,0
5143,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5143,0
5145,4.596651188,,,17.77613626,16.01762469,6.081949275,,5.060417174,17.77613626,,5.556328824,16.01762469,,2.063893588,6.081949275,,,0.277832397,8.230107293,,1.115552668,35.24451235,,5145,17.10230209
5147,7.945223568,,,16.91002774,15.25069459,6.396571168,,4.813857944,16.91002774,,5.290289638,15.25069459,,2.170659705,6.396571168,,,0.277832397,17.24682183,,1.116762608,31.99162645,,5147,14.11144301
5149,9.049762469,,,17.77613626,16.01762469,6.772922391,,5.060417174,17.77613626,,5.556328824,16.01762469,,2.298373508,6.772922391,,,0.277832397,25.37177338,,1.115552668,35.24451235,,5149,23.92768767
6001,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,6001,0
6003,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,6003,0
6005,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,6005,0
6007,0,,,190,190,6.569047855,,30,190,,30,190,,2.229189218,6.569047855,,,0.277832397,21.25975522,,100,0,,6007,0
6009,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,6009,0
6011,0,,,190,190,6.900175043,,30,190,,30,190,,2.341556363,6.900175043,,,0.277832397,27.65072321,,100,0,,6011,0
6013,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,6013,0
6015,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,6015,0
6017,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,6017,0
6019,0,,,190,190,6.754512475,,30,190,,30,190,,2.292126152,6.754512475,,,0.277832397,25.02497667,,100,0,,6019,0
6021,0,,,190,190,6.31577316,,30,190,,30,190,,2.143241112,6.31577316,,,0.277832397,15.16604155,,100,0,,6021,0
