fips,County,ST,stover_removal,corn_yield_Mg_ha,soy_yield_Mg_ha,stover_yield_Mg_ha,dSOC_MgCO2e_ha,N2O_MgCO2e_ha,area_ha,GHG_MgCO2e_ha,corn_prod_Mt_y,soy_prod_Mt_y,stover_prod_Mt_y,dSOC_MtCO2e,N2O_MtCO2e,GHG_MtCO2e
17007,Boone,IL,no_stover_BAU,12.993146265035266,4.057187681213908,0.0,228.26008207021812,1.4972931211965441,35571.8994,-226.76278894902157,0.2310954459146601,0.07216093602153022,0.0,8.119644676437542,0.05326156027951547,-8.066383116158027
17007,Boone,IL,25pct_stover,12.990749626672732,4.065314527115734,3.150524930232557,221.3712013517351,1.4716380387056465,35571.8994,-219.89956331302946,0.23105281942529501,0.07230547969395973,0.05603507793771227,7.874594104541065,0.05234896026605056,-7.822245144275015
17007,Boone,IL,50pct_stover,12.987980331269972,4.072851435809801,6.299215937984498,214.46757175133712,1.424616211108731,35571.8994,-213.04295554022838,0.23100356487655704,0.0724395307728859,0.11203753782243062,7.6290188869008455,0.05067630454516894,-7.578342582355677
17007,Boone,IL,75pct_stover,12.983563859867376,4.08044244538763,9.44587778294573,207.4040581269888,1.410341182519454,35571.8994,-205.99371694446933,0.230925013738339,0.07257454408740938,0.1680039071198203,7.377756290844998,0.05016851466425906,-7.327587776180739
17009,Brown,IL,no_stover_BAU,12.291974381934686,3.875001782308179,0.0,210.39625649275055,1.4097638529556646,22945.6962,-208.98649263979488,0.14102395493302802,0.044457306835650995,0.0,4.827688583099931,0.03234801308366215,-4.795340570016268
17009,Brown,IL,25pct_stover,12.290263025306157,3.8777556496117778,3.184914465116279,204.06320676950529,1.3936138910955236,22945.6962,-202.66959287840976,0.141004320798384,0.04448890153691274,0.03654003986977181,4.682372348130851,0.03197744096517777,-4.650394907165674
17009,Brown,IL,50pct_stover,12.287516953038018,3.879351745973769,6.367690697674418,197.691130356448,1.3627503522274573,22945.6962,-196.32838000422055,0.14097281552838,0.04450721330802684,0.07305554812220162,4.536160618593653,0.031269255578654225,-4.504891363014998
17009,Brown,IL,75pct_stover,12.282756065520996,3.881847228178266,9.54874562790698,191.12953048291484,1.3194048371653453,22945.6962,-189.8101256457495,0.140918194589076,0.04453584359629528,0.1095513081345159,4.385600141309603,0.030274662558406478,-4.355325478751197
17011,Bureau,IL,no_stover_BAU,13.375331130636342,3.8124353281840158,0.0,255.44321840875293,1.6723016964660526,122579.3894,-253.77091671228686,0.8197699615081072,0.2336629973278926,0.0,31.312073738915775,0.20498972084539285,-31.107084018070378
17011,Bureau,IL,25pct_stover,13.380100387176919,3.831710760344134,3.405868899224806,246.897431848378,1.6304453030913115,122579.3894,-245.2669865452867,0.8200622677854251,0.23484438268019683,0.20874466502171343,30.264536440402285,0.1998589897030309,-30.064677450699257
17011,Bureau,IL,50pct_stover,13.385782628105392,3.8488673865752197,6.81333631007752,238.31802490305722,1.580017786192618,122579.3894,-236.7380071168646,0.8204105305971431,0.23589590706398209,0.4175873023330757,29.212877975630747,0.19367761547263085,-29.019200360158113
17011,Bureau,IL,75pct_stover,13.390395952709248,3.866304050288013,10.22243373643411,229.4661846867911,1.5383834426501035,122579.3894,-227.927801244141,0.8206932798536655,0.23696459485952576,0.6265298427970268,28.12782480685448,0.18857410306311959,-27.939250703791362
17013,Calhoun,IL,no_stover_BAU,12.025640315315597,3.2814904879272215,0.0,190.80523144832208,1.346915423566788,12140.58,-189.45831602475528,0.07299912414965712,0.019919598893959733,0.0,2.31648617681687,0.016352334453046475,-2.300133842363823
17013,Calhoun,IL,25pct_stover,12.024739431593803,3.283904548151292,3.0034843565891465,185.14667232722707,1.3066702792871423,12140.58,-183.84000204793992,0.07299365552420954,0.019934252939597306,0.018232021054959528,2.247787987122486,0.015863735059307892,-2.2319242520631786
